Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod,Mas Vnr Area,Exter Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Finish,Garage Cars,Garage Area,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
8402,Gilbert,6,5,1998,1998,0,TA,789,789,1465,0,2,3,1,TA,7,Typ,Fin,2,393,5,2010,WD ,Normal,180400
10176,Gilbert,7,5,1990,1990,0,TA,1300,1341,1341,1,1,2,1,Gd,5,Typ,Unf,2,506,2,2010,WD ,Normal,171500
6820,StoneBr,8,5,1985,1985,0,Gd,1488,1502,1502,1,1,1,1,Gd,4,Typ,RFn,2,528,6,2010,WD ,Normal,212000
53504,StoneBr,8,5,2003,2003,603,Ex,1650,1690,3279,1,3,4,1,Ex,12,Mod,Fin,3,841,6,2010,WD ,Normal,538000
12134,Gilbert,8,7,1988,2005,0,Gd,559,1080,1752,0,2,4,1,TA,8,Typ,RFn,2,492,6,2010,WD ,Normal,164000
11394,StoneBr,9,2,2010,2010,350,Gd,1856,1856,1856,1,1,1,1,Ex,8,Typ,Fin,3,834,6,2010,New,Partial,394432
19138,Gilbert,4,5,1951,1951,0,TA,864,864,864,0,1,2,1,TA,4,Typ,Unf,2,400,6,2010,WD ,Normal,141000
13175,NWAmes,6,6,1978,1988,119,TA,1542,2073,2073,1,2,3,1,TA,7,Min1,Unf,2,500,2,2010,WD ,Normal,210000
11751,NWAmes,6,6,1977,1977,480,TA,1844,1844,1844,0,2,3,1,TA,7,Typ,RFn,2,546,1,2010,COD,Normal,190000
10625,NWAmes,7,6,1974,1974,81,TA,1053,1173,1173,1,2,3,1,Gd,6,Typ,RFn,2,528,1,2010,WD ,Family,170000
7500,Somerst,7,5,2000,2000,0,Gd,814,814,1674,1,2,3,1,Gd,7,Typ,RFn,2,663,1,2010,WD ,Normal,216000
11241,NAmes,6,7,1970,1970,180,TA,1004,1004,1004,1,1,2,1,TA,5,Typ,Fin,2,480,3,2010,WD ,Normal,149000
12537,NAmes,5,6,1971,2008,0,TA,1078,1078,1078,1,1,3,1,TA,6,Typ,Fin,2,500,4,2010,WD ,Normal,149900
8450,NAmes,5,6,1968,1968,0,TA,1056,1056,1056,1,1,3,1,TA,6,Typ,Unf,1,304,7,2010,WD ,Normal,142000
8400,NAmes,4,5,1970,1970,0,TA,882,882,882,1,1,2,1,TA,4,Typ,Fin,2,525,4,2010,WD ,Normal,126000
10500,NAmes,4,5,1971,1971,0,TA,864,864,864,0,1,3,1,TA,5,Typ,NA,0,0,4,2010,ConLI,Normal,115000
5858,NAmes,7,5,1999,1999,0,Gd,1405,1337,1337,1,2,2,1,Gd,5,Typ,Fin,2,511,6,2010,WD ,Normal,184000
1680,BrDale,6,5,1971,1971,504,TA,483,483,987,0,1,2,1,TA,5,Typ,Unf,1,264,2,2010,COD,Normal,96000
1680,BrDale,5,5,1971,1971,492,TA,525,525,1092,0,1,3,1,TA,6,Typ,Unf,1,320,3,2010,WD ,Normal,105500
1680,BrDale,6,5,1971,1971,381,TA,525,525,1092,0,1,3,1,TA,6,Typ,Unf,1,264,3,2010,WD ,Family,88000
4043,NPkVill,6,5,1977,1977,0,TA,1069,1069,1069,0,2,2,1,TA,4,Typ,RFn,2,440,7,2010,WD ,Normal,127500
2280,NPkVill,6,6,1975,1975,0,TA,855,855,1456,0,2,3,1,Gd,6,Typ,Unf,2,440,6,2010,WD ,Normal,149900
2280,NPkVill,7,6,1975,1975,0,TA,836,836,836,0,1,2,1,TA,4,Typ,Unf,1,308,6,2010,WD ,Normal,120000
2280,NPkVill,6,5,1978,1978,0,TA,855,855,1456,0,2,3,1,TA,7,Typ,Unf,2,440,7,2010,WD ,Normal,146000
12858,NridgHt,9,5,2009,2010,162,Ex,1590,1627,2334,0,2,3,1,Ex,10,Typ,Fin,3,751,1,2010,New,Partial,376162
11478,NridgHt,8,5,2007,2008,200,Gd,1704,1704,1704,1,2,3,1,Gd,7,Typ,RFn,3,772,5,2010,WD ,Normal,306000
10159,NridgHt,9,5,2009,2010,450,Ex,1930,1940,1940,1,2,3,1,Ex,8,Typ,Fin,3,606,4,2010,New,Partial,395192
12883,NridgHt,8,5,2009,2010,256,Gd,1544,1544,1544,0,2,3,1,Gd,7,Typ,RFn,3,868,6,2010,New,Partial,290941
12182,NridgHt,7,5,2005,2005,226,Gd,1541,1541,1541,0,2,3,1,Gd,7,Typ,RFn,2,532,5,2010,New,Partial,220000
11520,NridgHt,9,5,2005,2005,615,Gd,1698,1698,1698,0,2,3,1,Ex,7,Typ,Fin,3,730,6,2010,WD ,Normal,275000
14122,NridgHt,8,5,2005,2006,240,Gd,1822,1822,1822,0,2,3,1,Ex,8,Typ,RFn,3,678,2,2010,WD ,Normal,259000
10171,NridgHt,7,5,2004,2004,168,Gd,1517,1535,1535,0,2,3,1,Gd,7,Typ,RFn,2,532,3,2010,WD ,Normal,214000
12919,NridgHt,9,5,2009,2010,760,Ex,2330,2364,2364,1,2,2,1,Ex,11,Typ,Fin,3,820,3,2010,New,Partial,611657
6371,NridgHt,7,5,2009,2010,128,Gd,1358,1358,1358,1,2,2,1,Gd,6,Typ,RFn,2,484,6,2010,New,Partial,224000
14300,NridgHt,9,5,2003,2004,1095,Ex,2846,2696,2696,1,2,3,1,Ex,10,Typ,Fin,3,958,6,2010,WD ,Normal,500000
13650,NridgHt,8,5,2002,2002,232,Gd,1671,1687,2250,1,2,3,1,Gd,7,Typ,Fin,3,756,6,2010,WD ,Normal,320000
7658,NridgHt,9,5,2005,2005,412,Ex,1752,1752,1752,1,2,2,1,Ex,6,Typ,RFn,2,576,2,2010,WD ,Normal,319900
7132,NridgHt,8,5,2006,2006,178,Gd,1370,1370,1370,0,2,2,1,Gd,6,Typ,RFn,2,484,4,2010,WD ,Normal,205000
2628,NridgHt,7,5,2003,2003,106,Gd,764,764,1626,0,2,2,1,Gd,6,Typ,RFn,2,474,6,2010,WD ,Normal,175500
18494,Gilbert,6,5,2005,2005,0,Gd,1324,1324,1324,0,2,3,1,Gd,6,Typ,Fin,2,430,1,2010,WD ,Normal,199500
3203,Blmngtn,7,5,2006,2006,14,Gd,1145,1145,1145,0,2,2,1,Gd,6,Typ,Fin,2,437,1,2010,WD ,Normal,160000
3182,Blmngtn,8,5,2004,2005,16,Gd,1256,1269,1269,0,2,2,1,Gd,6,Typ,Fin,2,430,4,2010,WD ,Normal,192000
13300,Gilbert,7,5,2004,2004,0,Gd,384,744,1374,1,2,3,1,Gd,7,Typ,Fin,2,400,6,2010,WD ,Normal,184500
7851,Gilbert,6,5,2002,2002,,Gd,860,860,1960,1,2,4,1,Gd,8,Typ,Fin,2,440,5,2010,WD ,Normal,216500
8577,Gilbert,7,5,2004,2004,0,Gd,847,847,1733,0,2,3,1,Gd,7,Typ,Fin,2,433,4,2010,WD ,Normal,185088
7750,Gilbert,7,5,2000,2000,0,TA,384,774,1430,0,2,3,1,TA,7,Typ,Fin,2,400,4,2010,WD ,Normal,180000
9505,Gilbert,7,5,2001,2001,180,Gd,884,884,2035,0,2,3,1,Gd,8,Typ,Fin,2,434,5,2010,WD ,Normal,222500
14774,NoRidge,9,5,1999,1999,165,Gd,1393,1422,2599,0,2,4,1,Gd,10,Typ,Fin,3,779,5,2010,WD ,Normal,333168
17433,NoRidge,8,5,1998,1998,114,Gd,1629,1645,2475,0,2,4,1,Gd,7,Typ,Fin,3,962,1,2010,WD ,Normal,355000
10593,NoRidge,7,5,1996,1996,338,Gd,1720,1720,1720,1,2,3,1,Gd,7,Typ,Fin,2,527,3,2010,WD ,Normal,260400
12256,NoRidge,8,5,1994,1995,362,Gd,1463,1500,2622,1,2,3,1,Gd,9,Typ,RFn,2,712,4,2010,WD ,Normal,325000
11764,NoRidge,8,7,1999,2007,348,Gd,1152,1164,2270,0,2,4,1,Gd,9,Typ,Fin,3,671,4,2010,WD ,Normal,290000
16770,NoRidge,7,5,1998,1998,30,Gd,1195,1195,1839,0,2,4,1,TA,7,Typ,Fin,2,486,6,2010,WD ,Normal,221000
14720,NoRidge,8,5,1995,1996,579,Gd,2033,2053,3238,1,2,4,1,Gd,9,Typ,Fin,3,666,3,2010,WD ,Normal,410000
8987,Somerst,8,5,2005,2006,226,Gd,1595,1595,1595,0,2,2,1,Gd,6,Typ,RFn,3,880,5,2010,WD ,Normal,221500
9215,Somerst,7,5,2009,2010,0,Gd,1218,1218,1218,0,2,2,1,Gd,4,Typ,RFn,2,676,4,2010,New,Partial,204500
8640,Somerst,7,5,2009,2009,0,TA,756,764,1547,0,2,3,1,Gd,7,Typ,Unf,2,614,6,2010,Con,Normal,215200
9000,Somerst,8,5,2008,2008,36,Gd,1566,1566,1566,1,2,3,1,Gd,7,Typ,RFn,2,750,4,2010,WD ,Normal,262500
12552,Somerst,7,5,2004,2005,0,Gd,991,991,1947,0,2,3,1,Gd,8,Typ,RFn,2,678,5,2010,WD ,Normal,254900
10440,Somerst,6,5,2005,2005,0,Gd,1468,1468,1468,1,2,2,1,Gd,6,Typ,Fin,2,528,5,2010,WD ,Normal,271500
10142,SawyerW,7,5,2004,2004,0,Gd,956,956,2084,1,2,4,1,Gd,8,Typ,RFn,2,618,1,2010,WD ,Normal,233000
11920,SawyerW,7,5,2004,2004,122,Gd,831,831,1659,0,2,3,1,Gd,8,Typ,RFn,2,484,4,2010,WD ,Normal,181000
8880,SawyerW,7,5,1994,2002,0,Gd,948,1222,2110,1,2,3,1,Gd,8,Typ,RFn,2,463,5,2010,WD ,Normal,205000
8012,SawyerW,6,5,1980,1980,0,TA,923,923,923,0,2,2,1,TA,5,Typ,RFn,1,264,5,2010,WD ,Normal,143000
11218,SawyerW,6,5,1992,1992,0,Gd,1055,1055,1845,0,2,3,1,Gd,8,Typ,RFn,2,462,5,2010,WD ,Normal,189000
7892,SawyerW,6,5,1979,1979,0,TA,918,918,918,0,2,2,1,TA,5,Typ,Unf,1,264,4,2010,WD ,Normal,99500
7175,SawyerW,6,5,1984,1984,0,TA,744,752,752,1,1,2,1,TA,4,Typ,Unf,1,264,2,2010,WD ,Normal,125000
9453,SawyerW,7,7,1993,2003,0,Gd,996,1014,1744,0,2,3,1,Gd,7,Typ,RFn,2,457,2,2010,WD ,Normal,194500
9672,SawyerW,6,5,1984,1985,0,TA,1040,1097,1097,0,2,3,1,TA,6,Typ,Unf,2,480,5,2010,WD ,Normal,152000
8400,SawyerW,6,6,1980,1981,130,TA,650,888,1564,0,2,3,1,TA,7,Typ,Unf,2,476,4,2010,WD ,Normal,171000
9800,SawyerW,5,5,1920,1950,0,TA,816,1012,1012,0,1,2,1,TA,5,Typ,Unf,1,429,4,2010,WD ,Normal,67500
8930,Sawyer,6,5,1978,1978,0,TA,0,1318,1902,0,2,4,2,TA,8,Typ,Unf,2,539,4,2010,WD ,Normal,112000
11782,Sawyer,5,7,1961,1995,0,TA,1109,1155,1155,1,1,3,1,Gd,6,Min2,Unf,2,576,6,2010,WD ,Normal,148000
8450,Sawyer,5,8,1965,2009,0,TA,894,894,894,1,1,3,1,TA,5,Typ,Unf,1,336,4,2010,WD ,Normal,138500
9819,Sawyer,5,5,1967,1967,31,TA,882,900,900,0,1,3,1,TA,5,Typ,Unf,1,280,2,2010,WD ,Normal,122000
7500,Sawyer,5,5,1963,1963,0,TA,1040,1040,1040,1,1,3,1,TA,5,Typ,Fin,1,308,6,2010,WD ,Normal,133000
6897,Sawyer,5,8,1962,2010,0,TA,1040,1040,1040,1,1,3,1,TA,6,Typ,Unf,1,260,4,2010,WD ,Normal,127000
15410,Sawyer,6,6,1974,2002,250,TA,1208,1494,1494,1,2,3,1,TA,7,Typ,Fin,2,461,4,2010,WD ,Abnorml,169000
10186,NoRidge,7,5,1992,1992,0,Gd,750,1061,1923,1,2,3,1,Gd,8,Typ,RFn,2,564,6,2010,WD ,Normal,190000
13143,NoRidge,8,5,1993,1993,504,Gd,1231,1251,2349,1,2,4,1,Gd,9,Typ,RFn,3,762,6,2010,WD ,Normal,362500
11134,NoRidge,8,5,1992,1993,180,Gd,1390,1402,2225,1,2,4,1,Gd,7,Typ,RFn,3,713,6,2010,WD ,Normal,285000
4835,Somerst,7,5,2004,2005,0,Gd,1488,1488,1488,1,2,2,1,Gd,6,Typ,Fin,2,506,3,2010,WD ,Normal,260000
3515,Somerst,7,5,2004,2004,0,Gd,840,840,1680,0,2,2,1,Gd,3,Typ,RFn,2,588,1,2010,WD ,Normal,190000
3215,Somerst,7,5,2004,2004,120,Gd,600,600,1200,0,2,2,1,Gd,4,Typ,RFn,2,480,4,2010,ConLD,Normal,155000
3182,Somerst,7,5,2004,2005,0,Gd,600,600,1200,0,2,2,1,Gd,4,Typ,RFn,2,480,6,2010,WD ,Normal,151000
2544,Somerst,7,5,2004,2005,0,Gd,600,600,1200,1,2,2,1,Gd,4,Typ,RFn,2,480,2,2010,WD ,Normal,149500
2544,Somerst,6,5,2005,2005,216,Gd,600,600,1236,1,2,2,1,Gd,4,Typ,RFn,2,480,5,2010,WD ,Normal,152000
4403,Somerst,7,5,2009,2009,432,Ex,1470,1478,1478,1,2,2,1,Gd,7,Typ,Fin,2,484,6,2010,New,Partial,222000
2117,Somerst,6,5,2000,2000,216,Gd,756,769,1573,0,2,3,1,Gd,5,Typ,Unf,2,440,6,2010,WD ,Normal,177500
2980,Somerst,6,5,2000,2000,1159,Gd,756,756,1512,1,2,2,1,Gd,5,Typ,Unf,2,440,5,2010,WD ,Normal,177000
2572,Somerst,7,5,1999,1999,0,Gd,696,696,1416,1,2,3,1,Gd,6,Typ,Unf,2,484,5,2010,WD ,Normal,155000
2403,Somerst,7,5,2003,2003,0,Gd,530,530,1080,0,2,2,1,Gd,4,Typ,RFn,2,496,6,2010,WD ,Normal,147110
12853,Somerst,8,5,2010,2010,0,Gd,1642,1418,1418,1,1,1,1,Gd,6,Typ,RFn,3,852,4,2010,New,Partial,267916
7379,Somerst,8,5,2000,2000,0,Gd,975,975,1848,1,2,3,1,Gd,7,Typ,RFn,2,592,4,2010,WD ,Normal,254000
4420,Greens,8,5,1980,1980,0,Gd,728,788,788,1,1,1,1,Gd,3,Typ,Fin,2,484,6,2010,WD ,Normal,155000
3880,Greens,8,6,1978,1978,0,Gd,1226,1226,1226,1,1,1,1,Gd,4,Typ,Fin,2,484,1,2010,WD ,Normal,206000
13517,Sawyer,6,8,1976,2005,289,Gd,725,725,1479,0,2,3,1,Gd,6,Typ,RFn,2,475,3,2010,WD ,Normal,130500
8000,Somerst,7,5,2002,2002,0,Gd,1492,1492,1492,1,2,3,1,Gd,6,Typ,RFn,2,596,4,2010,WD ,Normal,230000
10456,NWAmes,6,6,1967,1967,120,TA,1829,1829,1829,1,2,4,1,TA,8,Typ,RFn,2,535,5,2010,WD ,Normal,218500
10791,NWAmes,6,5,1993,1993,0,TA,1280,1280,2495,1,2,4,1,Gd,9,Typ,Unf,2,660,3,2010,WD ,Normal,243500
10603,NWAmes,6,7,1977,2001,28,TA,1610,1610,1610,1,2,3,1,Gd,6,Typ,RFn,2,480,2,2010,WD ,Normal,205000
18837,NWAmes,6,5,1978,1978,0,TA,1224,1287,1891,0,3,3,1,TA,7,Typ,RFn,2,678,4,2010,WD ,Normal,212500
10421,NWAmes,7,5,1988,1988,42,TA,980,980,1714,0,2,3,1,TA,7,Typ,Unf,2,496,3,2010,WD ,Normal,196500
9360,NWAmes,6,7,1972,2006,0,TA,1161,1381,1381,1,1,3,1,Gd,5,Typ,RFn,2,676,3,2010,WD ,Normal,197500
9600,NWAmes,6,6,1971,1971,0,TA,715,930,1645,0,1,4,1,TA,7,Typ,RFn,2,441,6,2010,WD ,Normal,171000
9600,NAmes,5,5,1966,1966,172,TA,1232,1232,1232,1,1,3,1,TA,6,Typ,RFn,2,490,4,2010,WD ,Normal,142250
9790,NWAmes,6,5,1963,1963,451,TA,1328,1328,1328,1,1,3,1,TA,6,Typ,Unf,2,528,6,2010,WD ,Normal,143000
9320,NAmes,4,5,1959,1959,0,TA,950,1225,1225,1,1,3,1,TA,6,Typ,NA,0,0,1,2010,WD ,Normal,128950
9900,NAmes,5,5,1966,1966,0,TA,1209,1209,1209,1,1,3,1,TA,6,Typ,RFn,2,504,4,2010,ConLD,Normal,159000
9680,NAmes,5,6,1967,1967,268,TA,1510,1510,1510,1,2,3,1,Gd,6,Typ,RFn,2,517,4,2010,WD ,Normal,178900
10600,NAmes,6,5,1964,1964,0,TA,533,1131,1775,0,2,3,1,TA,8,Typ,Unf,2,480,5,2010,COD,Family,136300
14112,NAmes,5,7,1964,1964,86,TA,1152,1152,1152,1,1,3,1,TA,6,Typ,RFn,2,484,4,2010,WD ,Normal,180500
8800,NAmes,6,7,1963,1963,156,TA,936,1054,1054,1,1,3,1,Gd,6,Typ,RFn,2,480,5,2010,WD ,Abnorml,137500
13260,NAmes,5,6,1962,2001,144,TA,1728,1728,1728,2,2,6,2,TA,10,Typ,NA,0,0,1,2010,Oth,Abnorml,84900
9717,NAmes,5,6,1950,1996,0,TA,1078,1078,1078,1,1,2,1,Gd,5,Typ,Unf,1,240,4,2010,WD ,Normal,142125
9724,NAmes,5,7,1952,2002,265,Gd,1140,1929,2461,0,2,3,1,TA,7,Min2,Unf,2,400,3,2010,WD ,Normal,197600
17360,NAmes,6,6,1949,1950,340,TA,782,1019,1556,0,2,3,1,TA,6,Typ,Unf,2,470,1,2010,WD ,Normal,172500
7207,BrkSide,5,7,1958,2008,0,TA,858,858,858,1,1,2,1,TA,4,Typ,NA,0,0,2,2010,WD ,Normal,116500
5350,BrkSide,3,2,1940,1966,0,TA,728,1306,1306,0,1,3,1,Fa,6,Mod,NA,0,0,5,2010,WD ,Normal,76500
9920,NAmes,5,5,1954,1954,110,TA,1056,1063,1063,1,1,3,1,TA,6,Typ,RFn,1,280,2,2010,WD ,Normal,128000
9600,NAmes,6,6,1955,1972,164,TA,1156,1520,1520,1,1,3,1,TA,7,Typ,RFn,1,364,3,2010,WD ,Normal,153000
7800,NAmes,5,6,1954,1954,200,TA,1268,1268,1268,0,1,2,1,TA,7,Typ,Fin,1,244,3,2010,WD ,Normal,132000
11380,NAmes,6,8,1966,2008,216,TA,1080,1128,1128,1,1,2,1,Gd,5,Typ,Unf,1,315,1,2010,WD ,Normal,178000
11600,NAmes,5,5,1960,1960,361,TA,1105,1105,2274,0,2,5,2,TA,12,Typ,Unf,2,480,1,2010,WD ,Normal,154300
19900,NAmes,7,5,1970,1989,287,TA,1947,2207,2207,1,2,3,1,TA,7,Min1,RFn,2,576,7,2010,WD ,Normal,180000
16492,NAmes,6,6,1966,2002,0,Gd,1517,1888,1888,0,2,2,1,Gd,6,Mod,Fin,2,578,6,2010,WD ,Normal,190000
8267,NAmes,5,5,1958,1958,0,TA,1604,1604,1604,0,2,4,2,TA,8,Typ,Unf,2,576,3,2010,WD ,Normal,135000
8197,NAmes,7,5,2003,2009,506,Gd,1480,1480,1480,1,2,3,1,Gd,7,Typ,RFn,2,620,2,2010,WD ,Normal,214000
8050,NAmes,5,5,1959,1959,150,TA,1143,1143,1143,1,1,3,1,TA,6,Typ,RFn,1,308,5,2010,WD ,Normal,136000
10552,NAmes,5,5,1959,1959,0,TA,1398,1700,1700,0,1,4,1,Gd,6,Typ,RFn,2,447,4,2010,WD ,Normal,165500
8400,NAmes,5,6,1957,1957,0,TA,1314,1314,1314,1,1,3,1,TA,5,Typ,RFn,1,294,6,2010,WD ,Normal,145000
8760,NAmes,6,6,1959,1959,220,TA,1194,1194,1194,1,1,3,1,TA,6,Typ,RFn,1,312,4,2010,WD ,Normal,148000
12160,NAmes,5,5,1959,1959,180,TA,1188,1188,1188,1,1,3,1,TA,6,Typ,RFn,2,531,5,2010,COD,Abnorml,142000
9300,NAmes,5,5,1960,1960,324,TA,1268,1264,1264,1,1,3,1,TA,6,Typ,Unf,2,461,4,2010,WD ,Normal,167500
10725,NAmes,5,5,1959,1959,91,TA,1206,1206,1206,0,1,3,1,TA,6,Typ,RFn,1,312,5,2010,WD ,Normal,108538
10032,NAmes,6,5,1959,1959,432,TA,1244,1580,1580,1,1,3,1,TA,6,Typ,Unf,2,440,6,2010,WD ,Normal,159500
8382,NAmes,4,5,1956,1956,0,TA,832,832,1337,0,1,3,1,TA,5,Typ,Unf,1,263,2,2010,WD ,Normal,108000
10950,NAmes,5,7,1952,1952,0,TA,864,1064,1064,0,1,2,1,Fa,4,Typ,Unf,1,318,5,2010,WD ,Normal,135000
10895,NAmes,5,6,1955,1955,0,TA,972,972,972,0,1,3,1,TA,5,Typ,Unf,1,305,6,2010,WD ,Normal,122500
13587,NAmes,5,5,1958,1958,0,TA,988,988,988,1,1,2,1,TA,5,Typ,Unf,1,264,4,2010,WD ,Abnorml,119000
7922,NAmes,5,7,1953,2007,0,TA,1057,1057,1057,1,1,3,1,Gd,5,Typ,Unf,1,246,1,2010,WD ,Abnorml,109000
7898,NAmes,4,7,1920,1994,0,TA,576,985,985,0,1,2,1,TA,4,Typ,Unf,2,676,4,2010,WD ,Normal,105000
7200,NAmes,5,7,1955,2007,0,TA,0,827,827,0,1,2,1,TA,5,Mod,Unf,1,392,4,2010,WD ,Normal,107500
10200,NAmes,5,7,1954,2003,104,TA,1086,1086,1086,1,1,3,1,TA,6,Typ,Unf,2,490,5,2010,WD ,Normal,144900
5868,NAmes,5,7,1956,2000,0,TA,936,936,936,1,1,2,1,TA,4,Typ,Fin,1,308,5,2010,WD ,Normal,129000
17503,NAmes,6,5,1948,1950,0,TA,912,912,1458,0,1,3,1,TA,6,Typ,Unf,1,330,1,2010,WD ,Abnorml,97500
6979,OldTown,6,5,1980,1980,0,TA,1056,1056,1056,2,0,0,2,TA,4,Typ,Unf,2,576,6,2010,WD ,Normal,144000
9830,NAmes,5,7,1959,2006,0,TA,1063,1287,1287,1,1,3,1,Gd,7,Typ,Fin,2,576,3,2010,WD ,Normal,162000
11275,NAmes,7,7,1967,2007,300,Gd,710,1898,2978,0,2,5,1,Gd,11,Typ,Fin,2,564,6,2010,WD ,Normal,242000
8064,NAmes,6,8,1948,2004,0,TA,816,816,1224,1,1,3,1,TA,5,Typ,Unf,1,280,5,2010,WD ,Normal,132000
7500,NAmes,5,7,1959,1994,0,TA,1246,1246,1246,1,1,3,1,Gd,6,Typ,RFn,1,305,5,2010,WD ,Normal,154000
8520,NAmes,5,4,1952,1952,0,TA,910,910,1385,0,2,4,1,TA,6,Typ,Unf,2,720,6,2010,WD ,Normal,166000
7200,NAmes,5,7,1951,2000,0,TA,900,900,900,0,1,3,1,Gd,5,Typ,Unf,2,576,5,2010,WD ,Normal,134800
10000,NAmes,6,6,1962,1962,261,TA,1116,1116,1116,0,1,3,1,TA,5,Typ,Unf,2,440,2,2010,WD ,Normal,160000
7635,NAmes,5,6,1960,1960,0,TA,1175,1175,1175,0,1,3,1,TA,6,Typ,RFn,2,484,6,2010,WD ,Normal,148000
9760,NAmes,6,7,1963,1984,218,TA,1395,1395,1395,1,1,2,1,TA,7,Min1,RFn,2,440,5,2010,WD ,Normal,192000
7700,NAmes,6,5,1966,1966,351,TA,756,1051,1839,0,1,4,1,TA,7,Typ,Unf,2,442,6,2010,WD ,Normal,155000
4800,OldTown,4,5,1900,1954,771,TA,709,1157,1844,1,1,3,1,TA,9,Min2,Unf,1,240,1,2010,COD,Abnorml,80400
8800,OldTown,4,7,1910,2004,0,TA,576,792,1140,0,1,3,1,TA,7,Min2,NA,0,0,6,2010,WD ,Normal,96500
4485,OldTown,5,7,1920,1950,0,TA,936,936,936,1,1,2,1,TA,5,Typ,NA,0,0,5,2010,WD ,Normal,109500
8960,OldTown,5,6,1927,1950,0,TA,1008,1028,1028,0,1,2,1,TA,5,Typ,Unf,2,360,3,2010,WD ,Normal,115000
5805,OldTown,5,7,1957,1957,0,TA,1347,1347,1347,1,1,3,1,Gd,6,Typ,Unf,2,551,6,2010,WD ,Normal,143000
5790,OldTown,3,6,1915,1950,0,Gd,840,840,1605,0,2,3,2,TA,8,Typ,Unf,1,379,5,2010,WD ,Normal,107400
4608,OldTown,4,6,1945,1950,0,TA,747,747,747,0,1,2,1,TA,4,Typ,Unf,1,220,6,2010,WD ,Normal,80000
7200,OldTown,5,7,1940,1992,294,TA,788,804,804,1,1,2,1,Gd,4,Typ,Unf,1,240,2,2010,WD ,Abnorml,119000
5500,OldTown,5,7,1929,2001,0,TA,926,926,1316,1,1,3,1,TA,6,Typ,Unf,2,484,4,2010,WD ,Normal,130000
6900,OldTown,6,7,1938,2000,0,TA,827,827,1251,0,1,3,1,Fa,6,Typ,Unf,1,240,1,2010,WD ,Normal,119000
11851,OldTown,5,7,1948,2009,0,TA,1027,1027,1633,0,1,3,1,Gd,7,Typ,Unf,1,240,6,2010,WD ,Normal,129000
8239,OldTown,5,6,1920,1962,0,TA,1008,1060,1245,0,1,3,1,TA,6,Typ,Unf,1,315,3,2010,WD ,Normal,100000
9656,OldTown,2,2,1923,1970,0,TA,678,832,832,0,1,2,1,TA,5,Typ,Unf,2,780,6,2010,WD ,Abnorml,12789
8520,OldTown,6,8,1928,2003,0,TA,624,720,720,0,1,2,1,TA,5,Typ,Unf,2,484,5,2010,WD ,Normal,105900
9600,OldTown,8,9,1900,2003,0,Gd,930,930,1566,0,2,3,1,Gd,7,Typ,Unf,1,288,4,2010,WD ,Abnorml,150000
10800,OldTown,5,6,1915,1950,0,TA,686,966,1652,1,2,4,1,TA,7,Typ,Unf,1,416,6,2010,WD ,Normal,139000
